NBDATASETS	PROJECT	STREAM	PRODSTEP	DATATYPE	PROVENANCE	IDTOGROUP(GROUPID)	MEANNBFILES	MEANFILESIZE	ROUND(SUM(REPLICAS)/COUNT(*))
5	data12_8TeV	physics_EnhancedBias	merge	AOD	T0	/atlas/role=production	195	554804222120	3
807	data12_8TeV	physics_Egamma	merge	NTUP_SMDYEE	GP	/atlas/phys-sm/role=production	38	602711395	1
723	data12_8TeV	physics_Muons	merge	NTUP_2L2QHSG2	GP	/atlas/phys-higgs/role=production	45	15169324575	2
95	data12_8TeV	calibration_PixelBeam	merge	NTUP_IDVTXLUMI	T0	/atlas/role=production	11	1134207033	2
72	data12_8TeV	physics_Muons	merge	DESDM_RPVLL	T0	/atlas/role=production	54	190222066344	5
576	data12_8TeV	physics_Egamma	merge	NTUP_SUSYBOOST	GP	/atlas/phys-susy/role=production	53	26523635098	1
541	data12_8TeV	physics_Egamma	merge	NTUP_SMQCD	GP	/atlas/phys-sm/role=production	46	132833596948	1
62	data12_8TeV	debugrec_hltacc	merge	TAG	T0	/atlas/role=production	1	40160	11
191	data12_8TeV	express_express	merge	HIST	T0	/atlas/role=production	1	352402768	2
570	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/trig-daq/role=production	1631	11192936472	1
284	data12_8TeV	physics_Egamma	merge	NTUP_TPHSG2	GP	/atlas/phys-higgs/role=production	6	21513759658	2
210	data12_8TeV	physics_Muons	merge	DAOD_2LHSG2	GP	/atlas/phys-higgs/role=production	84	259083535326	1
502	data12_8TeV	physics_MinBias	merge	TAG	AP	/atlas/role=production	3	106191866	1
1496	data12_8TeV	physics_Background	merge	log	AP	/atlas/role=production	7	4418961	1
499	data12_8TeV	physics_Background	merge	TAG	AP	/atlas/role=production	3	39805303	1
86	data12_8TeV	physics_ZeroBias	merge	RAW	T0	/atlas/role=production	436	100727021850	2
400	data12_8TeV	physics_Egamma	merge	DAOD_ONIAMUMU	GP	/atlas/phys-beauty/role=production	32	22868907100	3
80	data12_8TeV	physics_JetTauEtmiss	merge	TAG	T0	/atlas/role=production	7	1149196798	11
1933	data12_8TeV	express_express	merge	log	AP	/atlas/role=production	13	6036084	1
108	data12_8TeV	physics_MinBias	merge	HIST	T0	/atlas/role=production	1	124982436	2
80	data12_8TeV	physics_JetTauEtmiss	merge	DESDM_RPVLL	T0	/atlas/role=production	167	574602215681	5
334	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_SMWZ	GP	/atlas/phys-higgs/role=production	106	452398629000	3
824	data12_8TeV	physics_Muons	merge	NTUP_SMZMUMU	GP	/atlas/phys-sm/role=production	43	1058438225	2
97	data12_8TeV	express_express	merge	NTUP_SCT	T0	/atlas/role=production	31	148535685044	1
235	data12_8TeV	physics_Egamma	merge	DESDM_RPVLL	T0	/atlas/role=production	18	43749645090	3
593	data12_8TeV	physics_Bphysics	merge	HIST	AP	/atlas/role=production	13	1059554026	1
250	data12_8TeV	physics_Muons	merge	AOD	T0	/atlas/role=production	219	519985952146	4
